City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,14.2,60,95,2.68,CA,1718240960
1,vila velha,-20.3297,-40.2925,18.97,94,0,1.03,BR,1718241166
2,new norfolk,-42.7826,147.0587,10.51,75,100,1.16,AU,1718241166
3,mirnyy,62.5353,113.9611,23.46,37,30,0.89,RU,1718241167
4,blackmans bay,-43.0167,147.3167,9.85,74,87,0.89,AU,1718241168
5,hawaiian paradise park,19.5933,-154.9731,27.73,72,40,4.63,US,1718241168
6,sabang,5.8933,95.3214,29.41,73,98,5.75,ID,1718241169
7,port-aux-francais,-49.35,70.2167,2.42,76,96,14.19,TF,1718241170
8,homer,59.6425,-151.5483,13.21,67,96,2.95,US,1718241170
9,nyurba,63.2842,118.3319,20.31,64,100,0.86,RU,1718241171
10,ribeira grande,38.5167,-28.7,20.99,87,100,0.45,PT,1718241171
11,coquimbo,-29.9533,-71.3436,14.85,73,75,2.57,CL,1718240961
12,waitangi,-43.9535,-176.5597,10.46,94,100,1.34,NZ,1718241172
13,enshi,30.3,109.4833,26.31,71,100,0.61,CN,1718241173
14,punta arenas,-53.15,-70.9167,0.06,86,40,7.72,CL,1718241026
15,albany,42.6001,-73.9662,17.25,76,38,1.2,US,1718241174
16,hermanus,-34.4187,19.2345,13.65,82,11,1.85,ZA,1718241174
17,wangjing,24.6,94.0333,22.44,96,99,0.34,IN,1718241175
18,jamestown,42.097,-79.2353,19.8,48,0,0.0,US,1718240878
19,akureyri,65.6835,-18.0878,8.96,76,0,2.06,IS,1718241176
20,mazabuka,-15.856,27.748,10.63,64,0,2.22,ZM,1718241177
21,rubtsovsk,51.5,81.25,16.48,78,7,2.44,RU,1718241177
22,bethel,41.3712,-73.414,19.41,73,0,2.06,US,1718241178
23,college,64.8569,-147.8028,16.61,80,75,6.17,US,1718241179
24,holualoa,19.6228,-155.9522,26.91,90,100,4.63,US,1718241179
25,lazaro cardenas,17.9583,-102.2,27.42,71,91,2.96,MX,1718241180
26,la gi,10.6667,107.7833,29.35,70,28,4.64,VN,1718241180
27,karymskoye,51.6167,114.35,13.18,86,100,3.48,RU,1718241181
